                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8764,                0.60578,                 1.0877,                0.90136,                0.98485,                0.97947,                0.86905,                0.48345,                0.44629,                0.91275,              0.0006536,              0.0006536,              0.0006536
                     36,                0.87042,                0.59018,                 1.0832,                0.96749,                0.93939,                0.97908,                0.87622,                0.48364,                0.45181,                0.91815,               0.000614,               0.000614,               0.000614
                     37,                0.82637,                0.57842,                  1.059,                0.91835,                0.95455,                0.98075,                0.86524,                0.48726,                0.43434,                0.91484,              0.0005744,              0.0005744,              0.0005744
                     38,                0.81738,                0.57589,                 1.0583,                0.95018,                 0.9697,                0.98176,                0.86847,                0.48226,                0.39399,                0.91732,              0.0005348,              0.0005348,              0.0005348
                     39,                0.87444,                0.57448,                 1.0738,                0.96962,                0.96718,                0.98697,                0.87251,                0.50688,                0.39912,                0.92179,              0.0004952,              0.0004952,              0.0004952
                     40,                0.79767,                0.55042,                 1.0649,                0.95402,                0.94313,                0.98423,                0.88492,                 0.4717,                0.39611,                0.90694,              0.0004556,              0.0004556,              0.0004556
                     41,                0.70218,                0.48988,                0.99529,                0.92602,                0.98485,                0.98592,                0.90106,                0.42855,                0.38547,                0.87229,               0.000416,               0.000416,               0.000416
                     42,                0.69575,                 0.4634,                 1.0047,                0.95264,                0.95455,                0.97534,                0.88319,                0.44992,                0.38667,                0.87847,              0.0003764,              0.0003764,              0.0003764
                     43,                0.69739,                0.45255,                 1.0209,                0.96727,                 0.9697,                0.98672,                0.89144,                0.44892,                0.38588,                0.88078,              0.0003368,              0.0003368,              0.0003368
                     44,                0.67816,                0.43164,                0.99503,                 0.9668,                0.95455,                0.98969,                0.88973,                 0.4518,                 0.4032,                0.88588,              0.0002972,              0.0002972,              0.0002972
                     45,                0.67332,                0.42081,                0.97251,                0.97098,                0.93939,                0.98555,                0.89201,                0.42483,                0.40546,                0.87051,              0.0002576,              0.0002576,              0.0002576
                     46,                0.67828,                0.41573,                0.97617,                0.96902,                0.94776,                 0.9776,                0.89373,                 0.4318,                0.41075,                0.88187,               0.000218,               0.000218,               0.000218
                     47,                0.67724,                0.42683,                 0.9714,                0.96111,                0.95455,                0.98478,                0.90071,                0.42592,                0.40115,                0.87124,              0.0001784,              0.0001784,              0.0001784
                     48,                0.63643,                0.39847,                0.96402,                0.96769,                0.98485,                0.98327,                0.90794,                0.42331,                0.35245,                0.87352,              0.0001388,              0.0001388,              0.0001388
                     49,                  0.654,                0.40097,                0.96718,                0.95419,                 0.9697,                 0.9853,                0.90802,                0.42457,                0.35143,                0.87504,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.62915,                0.38928,                0.95532,                0.95162,                0.95455,                0.98585,                0.90877,                0.42419,                0.36696,                0.87348,               5.96e-05,               5.96e-05,               5.96e-05
